iteration,puzzle,mode,seeded_ok,reward,plan_len,ref_len,improved,window_validity
64,two_atom_bond,seeded,1,1.000,11,11,0,0.90
65,two_atom_bond,seeded,1,1.000,11,11,0,0.90
66,two_atom_bond,seeded,1,1.000,11,11,0,0.90
67,two_atom_bond,seeded,1,1.000,11,11,0,0.90
68,two_atom_bond,relaxed,0,0.000,11,11,0,0.90
69,two_atom_bond,seeded,1,1.000,11,11,0,0.90
70,two_atom_bond,seeded,1,1.000,11,11,0,0.90
71,two_atom_bond,seeded,1,1.000,11,11,0,0.90
72,two_atom_bond,seeded,1,1.000,11,11,0,0.90
73,two_atom_bond,seeded,1,1.000,11,11,0,0.90
74,two_atom_bond,seeded,1,1.000,11,11,0,0.90
75,two_atom_bond,seeded,1,1.000,11,11,0,0.90
76,two_atom_bond,seeded,1,1.000,11,11,0,0.90
77,two_atom_bond,seeded,1,1.000,11,11,0,0.90
78,two_atom_bond,seeded,1,1.000,11,11,0,1.00
79,two_atom_bond,seeded,1,1.000,11,11,0,1.00
